RK	NAME	TEAM	SALARY
395	Greg Stiemsma, C	Portland Trail Blazers	$980,431
396	Henry Sims, C	Utah Jazz	$980,431
397	Jordan Farmar, PG	Sacramento Kings	$980,431
398	Jarnell Stokes, PF	Denver Nuggets	$980,431
399	Will Bynum, PG	Atlanta Hawks	$980,431
400	Ivan Rabb, PF	Memphis Grizzlies	$950,000
401	Rade Zagorac, SF	Memphis Grizzlies	$950,000
402	Ike Anigbogu, C	Indiana Pacers	$950,000
403	Reggie Williams, SF	New Orleans Pelicans	$895,197
404	D.J. Kennedy, SG	Memphis Grizzlies	$874,636
405	D.J. Stephens, SG	Memphis Grizzlies	$874,636
406	Kevin Murphy, SG	Orlando Magic	$874,636
407	Casper Ware, PG	Melbourne United	$874,636
408	Keith Benson, PF	Miami Heat	$874,636
409	Aaron Harrison, SG	Charlotte Hornets	$874,636
410	Christian Wood, PF	Charlotte Hornets	$874,636
411	Travis Wear, SF	Los Angeles Lakers	$874,636
412	Duje Dukan, PF	Sacramento Kings	$874,636
413	Cliff Alexander, PF	New Orleans Pelicans	$874,636
414	R.J. Hunter, SG	Chicago Bulls	$864,346
415	Dillon Brooks, SF	Memphis Grizzlies	$815,615
416	Troy Caupain, PG	Orlando Magic	$815,615
417	Cameron Oliver, PF	Houston Rockets	$815,615
418	Zhou Qi, PF	Houston Rockets	$815,615
419	Dwayne Bacon, SF	Charlotte Hornets	$815,615
420	T.J. Williams, PG	Charlotte Hornets	$815,615
421	Terry Henderson, SG	Charlotte Hornets	$815,615
422	Luke Petrasek, SF	Charlotte Hornets	$815,615
423	Isaiah Briscoe, PG	Portland Trail Blazers	$815,615
424	Royce O'Neale, SF	Utah Jazz	$815,615
425	Nazareth Mitrou-Long, SG	Utah Jazz	$815,615
426	Andrew White III, SF	Boston Celtics	$815,615
427	Daniel Theis, PF	Boston Celtics	$815,615
428	L.J. Peak, SG	Boston Celtics	$815,615
429	Jordan Mathews, SG	Atlanta Hawks	$815,615
430	Scott Wood, SG	Golden State Warriors	$543,471
431	Cameron Jones, SG	Golden State Warriors	$543,471
432	E.J. Singler, SF	Toronto Raptors	$543,471
433	Rasheed Sulaimon, G	Charlotte Hornets	$543,471
434	Andrew Andrews, G	Charlotte Hornets	$543,471
435	Yanick Moreira, C	Toronto Raptors	$543,471
436	Nicolas Laprovittola, G	San Antonio Spurs	$543,471
437	Ryan Richards, PF	San Antonio Spurs	$543,471
438	Julian Jacobs, PG	Los Angeles Lakers	$543,471
439	Trey Freeman, PG	Detroit Pistons	$543,471
440	Isaiah Cousins, PG	Sacramento Kings	$543,471
441	Jonathan Holmes, PF	Boston Celtics	$543,471
442	Richard Solomon, PF	Atlanta Hawks	$543,471
443	Jonathan Gibson, PG	Dallas Mavericks	$469,943
444	Toney Douglas, PG	Memphis Grizzlies	$379,159
445	Lamar Patterson, SG	Atlanta Hawks	$246,956
446	Larry Sanders, PF	Cleveland Cavaliers	$207,722
447	Ray McCallum, PG	Charlotte Hornets	$121,112
448	Manny Harris, PG	Dallas Mavericks	$115,344
449	Mike Tobey, C	Charlotte Hornets	$67,135
450	Justin Harper, PF	Philadelphia 76ers	$57,672
451	Alonzo Gee, SF	Denver Nuggets	$57,672
452	Jarell Eddie, SG	Chicago Bulls	$57,672
453	Pierre Jackson, PG	Dallas Mavericks	$31,969
